repo,defaultBranch,plannedWrites,appliedWrites,skippedDriftCount,skippedDrift,errors
Trancendos/queen-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/prometheus-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/porter-family-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/oracle-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/norman-ai,main,8,8,0,,
Trancendos/nexus-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/mercury-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/lunascene-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/lille-sc-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/iris-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/infrastructure,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/infinity-portal,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/guardian-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/echo-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/dorris-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/cornelius-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/chronos-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/central-plexus,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/atlas-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/arcadia,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
